food_name,food_group,calories,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,serving_size_g,protein_calorie_ratio
Vegetable Samosa,Vegetarian,274,43.84,6.58,10.96,7.67,4.38,0,100,0.02
Paneer Bhurji,Vegetarian,370,29.21,21.42,17.53,6.82,4.87,0,100,0.06
Keema Naan,Vegetarian,302,45.3,8.05,10.07,5.03,4.03,0,100,0.03
Palak Paratha,Vegetarian,309,53.28,7.46,9.59,6.39,5.33,0,100,0.02
Lassi with Mint,Vegetarian,185,23.13,6.94,10.41,11.56,4.63,0,100,0.04
Saag,Vegetarian,286,40.86,9.19,10.21,5.11,6.13,0,100,0.03
Alu Gobi,Vegetarian,319,39.88,5.98,14.95,4.98,4.98,0,100,0.02
Biryani with Raita,Vegetarian,468,62.4,12.48,20.8,9.36,7.28,0,100,0.03
Malai Kofta,Vegetarian,406,38.67,11.6,21.27,7.73,5.8,0,100,0.03
Lahori Chicken,Non-Vegetarian,374,23.37,26.18,16.83,8.41,5.61,46.75,100,0.07
Jeera Rice,Vegetarian,318,46.76,6.55,9.35,4.68,4.68,0,100,0.02
Pakistani Biryani,Vegetarian,482,68.11,15.72,18.86,9.43,8.38,52.39,100,0.03
Vegetable Pulao,Vegetarian,338,54.68,6.96,9.94,5.96,4.97,0,100,0.02
Paneer Do Pyaza,Vegetarian,372,27.9,16.74,18.6,5.58,5.58,0,100,0.05
Matar Pulao,Vegetarian,320,51.76,6.59,7.53,4.71,3.76,0,100,0.02
Chana Daal,Vegetarian,312,43.87,14.62,7.8,4.87,5.85,0,100,0.05
Kadhi,Vegetarian,355,45.64,10.14,15.21,7.1,6.09,0,100,0.03
Lassi with Fruit,Vegetarian,185,23.13,6.94,10.41,13.88,3.47,0,100,0.04
Aloo Gobi,Vegetarian,320,45,8,12,6,5,0,100,0.03
Dhokla,Vegetarian,196,38.11,5.44,4.36,5.44,3.27,0,100,0.03
Dal Fry,Vegetarian,326,41.91,13.04,9.31,4.66,5.59,0,100,0.04
Kachori,Vegetarian,289,52.02,8.09,10.4,5.78,4.62,0,100,0.03
Shami Kebab,Vegetarian,275,9.82,24.55,14.73,5.89,3.93,68.75,100,0.09
Khasta Kachori,Vegetarian,282,45.12,9.02,11.28,5.64,4.51,0,100,0.03
Rajma Chawal,Vegetarian,388,57.68,15.73,12.58,6.29,7.34,0,100,0.04
Puri with Aloo,Vegetarian,367,52.43,8.39,15.73,7.34,6.29,0,100,0.02
Chana Chaat,Vegetarian,209,40.64,6.97,5.81,3.48,4.64,0,100,0.03
Moong Dal,Vegetarian,270,36,12.6,5.4,4.5,6.3,0,100,0.05
Chicken Seekh Kebab,Non-Vegetarian,322,11.1,31.64,19.99,6.66,4.44,66.62,100,0.1
Kachori with Sabzi,Vegetarian,302,48.54,8.63,10.79,6.47,5.39,0,100,0.03
Palak Chaat,Vegetarian,207,27,5.4,6.3,3.6,3.6,0,100,0.03
Navratan Dal,Vegetarian,329,47,11.28,8.46,5.64,5.64,0,100,0.03
Dum Aloo,Vegetarian,410,51.25,12.3,18.45,7.18,7.18,0,100,0.03
Chicken Biryani,Non-Vegetarian,490,63.91,23.43,19.17,9.59,7.46,53.26,100,0.05
Vegetable Pakora,Vegetarian,230,34.5,5.75,11.5,8.05,5.75,0,100,0.03
Sarson Da Saag,Vegetarian,375,53.57,10.71,16.07,8.57,5.36,0,100,0.03
Chole,Vegetarian,332,47.43,14.23,7.59,3.79,6.64,0,100,0.04
Paneer Lababdar,Vegetarian,410,31.89,16.4,20.04,5.47,6.38,0,100,0.04
Chana Masala,Vegetarian,320,48.48,11.64,7.76,4.85,6.79,0,100,0.04
Matar Paneer,Vegetarian,398,33.17,14.21,20.85,6.63,5.69,0,100,0.04
Vegetable Pakora,Vegetarian,260,47.27,8.27,9.45,7.09,5.91,0,100,0.03
Chana Batata,Vegetarian,255,40.8,8.16,7.14,5.1,6.12,0,100,0.03
Gobhi Paratha,Vegetarian,289,46.45,7.23,9.29,6.19,5.16,0,100,0.03
Paneer Ke Kebab,Vegetarian,275,9.48,23.71,14.22,5.69,3.79,47.41,100,0.09
Vegetable Paratha,Vegetarian,309,53.28,7.46,9.59,6.39,5.33,0,100,0.02
Moong Dal Chilla,Vegetarian,222,33.3,13.32,6.66,3.33,4.44,0,100,0.06
Chana Chaat,Vegetarian,189,31.5,6.3,5.25,3.15,4.2,0,100,0.03
Shahi Pulao,Vegetarian,395,51.73,9.4,14.11,7.52,6.58,0,100,0.02
Chana Daal,Vegetarian,312,43.87,14.62,7.8,4.87,5.85,0,100,0.05
Gobhi Masala,Vegetarian,318,42.4,8.48,14.84,5.3,6.36,0,100,0.03
Chicken Korma,Non-Vegetarian,418,30.48,17.42,19.16,8.71,6.1,52.25,100,0.04
Pulao,Vegetarian,342,53.74,7.82,9.77,5.86,4.89,0,100,0.02
Dal Makhani,Vegetarian,380,45.24,16.29,10.86,6.33,5.43,0,100,0.04
Malai Kofta,Vegetarian,445,42.38,15.89,26.49,6.36,7.42,0,100,0.04
Chole Bhature,Vegetarian,484,58.08,15.49,19.36,7.74,5.81,0,100,0.03
Aloo Methi,Vegetarian,318,39.75,7.95,13.91,4.97,5.96,0,100,0.03
Paneer Pakora,Vegetarian,288,33.6,9.6,11.52,6.72,3.84,0,100,0.03
Bajra Khichdi,Vegetarian,322,50.31,8.05,10.06,6.04,5.03,0,100,0.03
Chicken Malai Kebab,Non-Vegetarian,302,5.59,31.88,20.13,8.95,4.47,67.11,100,0.11
Methi Thepla,Vegetarian,256,40.96,6.14,8.19,4.1,5.12,0,100,0.02
Chicken Tikka Masala,Non-Vegetarian,440,38.26,23.91,19.13,7.65,6.7,66.96,100,0.05
Roti,Vegetarian,158,31.6,5.27,2.11,4.21,3.16,0,100,0.03
Poori with Sabzi,Vegetarian,363,51.86,7.26,15.56,7.26,6.22,0,100,0.02
Khichdi,Vegetarian,331,56.89,12.41,7.24,6.21,6.21,0,100,0.04
Paneer Pasanda,Vegetarian,464,33.83,17.4,24.65,6.77,5.8,0,100,0.04
Palak Chaat,Vegetarian,282,49.04,9.81,12.26,8.58,7.36,0,100,0.03
Butter Naan,Vegetarian,280,50.4,7.84,8.96,5.6,5.6,0,100,0.03
Chana Pulao,Vegetarian,353,56.87,9.81,8.83,4.9,6.86,0,100,0.03
Vegetable Tikka,Vegetarian,330,35.36,14.14,21.21,7.07,5.89,0,100,0.04
Murgh Malai Tikka,Vegetarian,322,16.1,26.83,19.32,5.37,5.37,64.4,100,0.08
Lassi with Mango,Vegetarian,216,38.12,7.62,10.16,15.25,3.81,0,100,0.04
Pav Bhaji,Vegetarian,355,45.64,10.14,15.21,5.07,6.09,0,100,0.03
Dal Bati Churma,Vegetarian,498,59.76,14.94,21.91,8.96,6.97,0,100,0.03
Paneer Tikka Masala,Vegetarian,410,31.2,16.04,19.61,7.13,5.35,0,100,0.04
Keema Paratha,Vegetarian,402,54.32,10.86,19.56,6.52,5.43,0,100,0.03
Vegetable Biryani,Vegetarian,434,59.18,7.89,17.75,6.9,4.93,0,100,0.02
Chutney,Vegetarian,73,21.9,1.46,1.46,7.3,2.92,0,100,0.02
Khakra,Vegetarian,240,40,8,9.14,5.71,4.57,0,100,0.03
Chana Daals,Vegetarian,328,51.25,14.35,8.2,6.15,6.15,0,100,0.04
Jeera Aloo,Vegetarian,266,36.1,5.7,9.5,4.75,4.75,0,100,0.02
Kaladi Kebab,Vegetarian,320,11.03,27.59,22.07,6.62,5.52,66.21,100,0.09
Puri with Aloo,Vegetarian,316,44.44,6.91,11.85,5.92,5.92,0,100,0.02
Puran Poli,Vegetarian,340,56.67,9.07,13.6,10.2,5.67,0,100,0.03
Sabzi Pulao,Vegetarian,340,47.22,7.56,11.33,6.61,4.72,0,100,0.02
Khoya Mawa,Vegetarian,355,39.94,8.88,13.31,15.98,2.66,0,100,0.03
Dal Baati,Vegetarian,462,57.75,14.44,17.33,7.7,5.78,0,100,0.03
Pineapple Raita,Vegetarian,154,22,5.5,6.6,8.8,3.3,0,100,0.04
Masala Papad,Vegetarian,133,22.17,2.22,5.54,7.76,3.33,0,100,0.02
Chana Masala,Vegetarian,340,53.43,11.66,7.77,4.86,6.8,0,100,0.03
Methi Thepla,Vegetarian,275,45.83,8.15,7.13,4.07,5.09,0,100,0.03
Shahi Paneer,Vegetarian,425,32.34,13.86,23.1,6.47,5.54,0,100,0.03
Amritsari Kulcha,Vegetarian,331,57.07,9.13,12.56,6.85,5.71,0,100,0.03
Vegetable Korma,Vegetarian,400,43.9,9.76,19.51,5.85,5.85,0,100,0.02
Keema Methi,Vegetarian,382,27.29,22.74,16.37,6.37,5.46,36.38,100,0.06
Rajma with Rice,Vegetarian,384,57.08,14.53,12.45,5.19,7.26,0,100,0.04
Puran Poli,Vegetarian,322,46,7.36,9.2,9.2,3.68,0,100,0.02
Methi Paratha,Vegetarian,280,43.45,6.76,7.72,4.83,4.83,0,100,0.02
Murg Pulao,Vegetarian,502,65.48,27.28,19.64,9.82,7.64,54.57,100,0.05
Aloo Baingan,Vegetarian,320,45,8,12,6,5,0,100,0.03
Balti Gosht,Vegetarian,420,30.63,21.88,17.5,8.75,6.12,52.5,100,0.05
Paneer Makhanwala,Vegetarian,437,33.99,17.48,24.28,6.8,5.83,0,100,0.04
Khichdi,Vegetarian,320,50,12,8,5,6,0,100,0.04
Vegetable Samosa,Vegetarian,250,39.77,5.68,11.36,7.95,5.68,0,100,0.02
Pakodi,Vegetarian,300,48,9.6,14.4,7.2,6,0,100,0.03
Gajar Ka Halwa,Vegetarian,256,36.57,5.49,7.31,16.46,2.74,0,100,0.02
Chana Chaat,Vegetarian,189,31.5,6.3,5.25,3.15,4.2,0,100,0.03
Chaas,Vegetarian,118,9.83,5.9,5.9,6.88,2.95,0,100,0.05
Lemon Rice,Vegetarian,333,55.5,8.07,9.08,5.05,6.05,0,100,0.02
Palak Chaat,Vegetarian,220,28.7,6.7,7.65,5.74,3.83,0,100,0.03
Masoor Dal,Vegetarian,294,45.62,15.21,6.08,5.07,6.08,0,100,0.05
Chole Bhature,Vegetarian,500,65,15,20,8,6,0,100,0.03
Shahi Tukda,Vegetarian,367,52.43,8.39,15.73,18.87,3.15,0,100,0.02
Chana Aloo,Vegetarian,312,43.87,14.62,7.8,5.85,6.82,0,100,0.05
Kadhi Pakora,Vegetarian,382,42.97,9.55,17.19,4.77,5.73,0,100,0.03
Bhindi Masala,Vegetarian,296,39.47,6.91,11.84,4.93,5.92,0,100,0.02
Dum Aloo,Vegetarian,420,55.26,11.05,22.11,6.63,6.63,0,100,0.03
Malai Kebab,Vegetarian,275,9.82,24.55,14.73,5.89,3.93,58.93,100,0.09
Vegetable Tikki,Vegetarian,258,36.12,7.22,10.32,7.22,5.16,0,100,0.03
Aloo Gobi,Vegetarian,330,45,6,14,5,6,0,100,0.02
Paneer Korma,Vegetarian,418,37.16,13.93,20.44,7.43,5.57,0,100,0.03
Chana Pulao,Vegetarian,341,50.69,9.22,8.29,5.53,6.45,0,100,0.03
Chicken Seekh Kebab,Non-Vegetarian,302,10.41,26.03,18.74,6.25,5.21,62.48,100,0.09
Saag Aloo,Vegetarian,298,41.91,6.52,9.31,4.66,5.59,0,100,0.02
Palak Paneer,Vegetarian,382,33.43,19.1,17.19,6.68,5.73,0,100,0.05
Masala Khichdi,Vegetarian,349,56.46,12.32,9.24,7.19,6.16,0,100,0.04
Gulab Jamun,Vegetarian,274,42.15,6.32,10.54,18.97,3.16,0,100,0.02
Tandoori Chicken,Non-Vegetarian,322,4.6,26.22,16.56,5.52,4.6,64.4,100,0.08
Chole Puri,Vegetarian,366,50.32,12.81,9.15,4.57,6.4,0,100,0.04
Chana Masala,Vegetarian,320,48.48,11.64,7.76,4.85,6.79,0,100,0.04
Paneer Lababdar,Vegetarian,452,34.39,14.74,25.06,7.86,5.9,0,100,0.03
Vegetable Jalfrezi,Vegetarian,354,37.26,7.45,16.77,6.52,4.66,0,100,0.02
Chana Daal,Vegetarian,312,43.87,14.62,7.8,4.87,5.85,0,100,0.05
Dum Gosht,Vegetarian,485,39.59,24.74,24.74,9.9,6.93,59.39,100,0.05
Chicken Curry,Non-Vegetarian,400,18,32,20,5,3,60,100,0.08
Prawn Masala,Non-Vegetarian,450,15,30,25,4,2.5,75,100,0.07
Masala Bhindi,Vegetarian,220,18,7,15,5,4,0,100,0.03
Paneer Butter Masala,Vegetarian,350,22,15,25,8,3.5,0,100,0.04
Tomato Rasam,Vegetarian,180,35,5,3,7,2.5,0,100,0.03
Chicken Biryani,Non-Vegetarian,550,65,20,22,6,4.5,70,100,0.04
Grilled Fish,Non-Vegetarian,400,10,30,18,3,1,80,100,0.08
Ragi Dosa,Vegetarian,250,40,8,6,4,5,0,100,0.03
Sev Khamani,Vegetarian,220,35,8,9,5,4.5,0,100,0.04
Moong Dal Chilla,Vegetarian,180,30,10,5,3,5,0,100,0.06
Vegetable Kurma,Vegetarian,320,45,7,15,6,4.5,0,100,0.02
Dal Baati Churma,Vegetarian,500,70,12,20,8,7,0,100,0.02
Undhiyu,Vegetarian,350,45,10,15,6,5,0,100,0.03
Butter Chicken,Non-Vegetarian,480,12,30,30,6,3.5,65,100,0.06
Sambar,Vegetarian,150,25,7,5,4,6,0,100,0.05
Kadhi Pakora,Vegetarian,320,35,12,15,7,6,0,100,0.04
Rajma,Vegetarian,350,50,15,10,4,8,0,100,0.04
Idli,Vegetarian,150,30,5,2,2,4,0,100,0.03
Khichdi,Vegetarian,280,50,8,6,4,5,0,100,0.03
Mutton Rogan Josh,Non-Vegetarian,500,15,35,30,6,3.5,80,100,0.07
Vegetable Pulao,Vegetarian,380,65,8,12,6,4.5,0,100,0.02
Chana Masala,Vegetarian,300,45,15,8,5,6,0,100,0.05
Chicken Korma,Non-Vegetarian,450,20,30,25,5,3.5,65,100,0.07
Vegetable Biryani,Vegetarian,380,60,10,12,5,4,0,100,0.03
Papad,Vegetarian,100,25,2,0.5,0,2.5,0,100,0.02
Palak Paneer,Vegetarian,350,18,15,20,5,4.5,0,100,0.04
Besan Chilla,Vegetarian,240,30,12,8,3,6,0,100,0.05
Masala Dosa,Vegetarian,350,50,8,15,5,4.5,0,100,0.02
Chicken Seekh Kebab,Non-Vegetarian,500,10,30,35,4,3,75,100,0.06
Masala Prawn,Non-Vegetarian,400,15,30,25,5,3.5,80,100,0.08
Handvo,Vegetarian,280,40,12,10,6,4,0,100,0.04
Chole Bhature,Vegetarian,550,75,20,20,8,7,0,100,0.04
Grilled Chicken Breast,Non-Vegetarian,250,0,50,6,0,1,85,100,0.2
Vegetable Stew,Vegetarian,220,35,8,8,4,5,0,100,0.04
Shakshuka,Vegetarian,350,35,20,15,5,6,0,100,0.06
Chicken Shawarma,Non-Vegetarian,400,30,35,18,4,3.5,90,100,0.09
Masoor Dal,Vegetarian,280,50,15,8,4,8,0,100,0.05
Pulao with Paneer,Vegetarian,370,50,15,12,6,4.5,0,100,0.04
Beef Steak,Non-Vegetarian,500,0,45,30,0,0,80,100,0.09
Idli Sambar,Vegetarian,300,50,10,8,5,6,0,100,0.03
Khaman Dhokla,Vegetarian,250,45,8,8,5,5,0,100,0.03
Tandoori Chicken,Non-Vegetarian,380,10,40,18,3,2,75,100,0.11
Vegetable Pulao with Tofu,Vegetarian,350,60,12,12,5,5,0,100,0.03
Chole,Vegetarian,300,50,14,10,5,7,0,100,0.05
Butter Chicken,Non-Vegetarian,450,12,32,30,6,4,70,100,0.07
Vegetable Sambar,Vegetarian,230,35,8,6,3,4.5,0,100,0.03
Moong Dal Chilla,Vegetarian,250,35,14,8,3,6,0,100,0.06
Grilled Fish with Lemon,Non-Vegetarian,300,10,25,15,2,1.5,85,100,0.08
Pongal,Vegetarian,350,50,8,12,4,5.5,0,100,0.02
Khichdi with Ghee,Vegetarian,320,50,12,12,4,5,0,100,0.04
Chicken Korma,Non-Vegetarian,500,18,32,30,5,4,70,100,0.06
Vegetable Biryani,Vegetarian,400,60,10,12,6,5,0,100,0.03
Fulwadi,Vegetarian,350,55,10,12,6,6,0,100,0.03
Mutton Keema,Non-Vegetarian,450,12,35,28,5,3,90,100,0.08
Tomato Chutney,Vegetarian,150,35,5,2,7,3.5,0,100,0.03
Shrimp Curry,Non-Vegetarian,420,15,30,20,6,3,85,100,0.07
Chicken Tikka,Non-Vegetarian,350,8,30,20,4,3,75,100,0.09
Avocado Salad,Vegetarian,300,15,6,20,5,7,0,100,0.02
Patra,Vegetarian,250,30,8,12,5,6,0,100,0.03
Mutton Biryani,Non-Vegetarian,550,65,25,25,6,4,80,100,0.05
Spinach Dal,Vegetarian,280,45,14,10,5,7,0,100,0.05
Pineapple Chutney,Vegetarian,120,30,2,1,8,3.5,0,100,0.02
Beef Curry,Non-Vegetarian,480,15,35,25,4,3.5,85,100,0.07
Vegetable Pakora,Vegetarian,250,30,8,12,4,5,0,100,0.03
Lauki Thepla,Vegetarian,300,50,12,10,4,6,0,100,0.04
Chicken Masala,Non-Vegetarian,450,18,35,22,6,4,75,100,0.08
Vegetable Dosa,Vegetarian,300,50,8,12,5,4.5,0,100,0.03
Moong Dal Khichdi,Vegetarian,280,50,12,6,4,5,0,100,0.04
Grilled Salmon,Non-Vegetarian,400,0,40,25,2,1.5,70,100,0.1
Bajra Khichdi,Vegetarian,330,50,8,10,5,6,0,100,0.02
Bhel Puri,Vegetarian,280,40,6,12,8,3.5,0,100,0.02
Tandoori Fish,Non-Vegetarian,350,5,30,20,4,2,80,100,0.09
Vegetable Pulav with Tofu,Vegetarian,380,55,15,15,6,4,0,100,0.04
Sev Usal,Vegetarian,350,50,12,10,7,5,0,100,0.03
Grilled Chicken with Veggies,Non-Vegetarian,380,10,35,20,5,3.5,70,100,0.09
Vegetable Soup,Vegetarian,180,30,8,4,4,3.5,0,100,0.04
Chaas,Vegetarian,90,10,5,4,6,1.5,0,100,0.06
Chicken Salad,Non-Vegetarian,350,5,35,18,4,2,85,100,0.1
Onion Raita,Vegetarian,120,10,5,6,7,1.5,0,100,0.04
Chutney Sandwich,Vegetarian,350,55,8,12,6,4,0,100,0.02
Chicken Pulao,Non-Vegetarian,450,60,25,12,5,5.5,60,100,0.06
Vegetable Tofu Stir-Fry,Vegetarian,280,40,12,10,6,5,0,100,0.04
Grilled Tofu,Vegetarian,150,8,18,8,1,2,0,100,0.12
Vegetable Soup,Vegetarian,100,20,6,2,3,3.5,0,100,0.06
Spinach and Paneer,Vegetarian,180,12,15,8,2,3,0,100,0.08
Boiled Egg Whites,Non-Vegetarian,100,2,20,0.5,0,0,0,100,0.2
Cucumber Salad,Vegetarian,50,10,2,0.5,3,1.5,0,100,0.04
Zucchini Stir Fry,Vegetarian,120,25,5,2,6,5,0,100,0.04
Chicken Breast (Grilled),Non-Vegetarian,230,0,45,5,0,0.5,70,100,0.2
Tomato Soup,Vegetarian,80,15,4,1,5,2,0,100,0.05
Baked Salmon,Non-Vegetarian,250,0,22,15,1,0.5,65,100,0.09
Steamed Broccoli,Vegetarian,55,10,4,0.5,2,5,0,100,0.07
Grilled Cauliflower,Vegetarian,110,20,5,3,4,5,0,100,0.05
Chia Pudding,Vegetarian,150,15,5,8,5,4,0,100,0.03
Lean Beef (Grilled),Non-Vegetarian,290,0,40,15,0,0,75,100,0.14
Carrot Salad,Vegetarian,90,20,3,0.5,5,5,0,100,0.03
Paneer Bhurji,Vegetarian,200,10,14,12,5,2,0,100,0.07
Tuna Salad,Non-Vegetarian,180,5,30,6,1,3,55,100,0.17
Broccoli Stir Fry,Vegetarian,120,20,6,2,3,6,0,100,0.05
Spaghetti Squash with Veggies,Vegetarian,140,28,5,2,7,5,0,100,0.04
Turkey Breast,Non-Vegetarian,190,0,40,3,0,0.5,60,100,0.21
Grilled Asparagus,Vegetarian,70,12,3,2,3,5,0,100,0.04
Greek Yogurt with Berries,Vegetarian,180,25,10,4,7,5,0,100,0.06
Grilled Shrimp,Non-Vegetarian,220,0,35,8,1,1.5,85,100,0.16
Zucchini Noodles,Vegetarian,80,15,3,1,5,4,0,100,0.04
Green Bean Stir Fry,Vegetarian,100,15,4,2,3,5,0,100,0.04
Chicken Caesar Salad,Non-Vegetarian,350,5,30,18,3,3,60,100,0.09
Watermelon Salad,Vegetarian,50,12,1,0.5,5,1,0,100,0.02
Baked Sweet Potato,Vegetarian,150,35,4,0.5,10,5,0,100,0.03
Grilled Chicken with Salad,Non-Vegetarian,280,5,35,15,3,3.5,70,100,0.13
Carrot and Celery Sticks,Vegetarian,60,14,2,0.5,6,3,0,100,0.03
Chickpea Salad,Vegetarian,220,35,8,6,5,6,0,100,0.04
Grilled Fish with Veggies,Non-Vegetarian,280,6,28,12,2,2.5,75,100,0.1
Tomato Cucumber Salad,Vegetarian,40,8,2,0.5,4,2,0,100,0.05
Avocado Toast,Vegetarian,220,30,5,10,5,7,0,100,0.02
Baked Chicken Wings,Non-Vegetarian,300,0,30,20,0,0,75,100,0.1
Grilled Mushrooms,Vegetarian,110,10,5,4,4,3,0,100,0.05
Raw Kale Salad,Vegetarian,120,10,6,5,3,7,0,100,0.05
Chicken Stir Fry with Veggies,Non-Vegetarian,250,10,30,10,5,3,65,100,0.12
Baked Kale Chips,Vegetarian,90,15,4,2,4,5,0,100,0.04
Vegetable Stir Fry,Vegetarian,150,25,5,4,6,6,0,100,0.03
Tilapia Fillet,Non-Vegetarian,220,0,30,10,1,2.5,65,100,0.14
Grilled Peppers,Vegetarian,90,20,3,1,5,5,0,100,0.03
Boiled Chickpeas,Vegetarian,130,20,7,2,4,6,0,100,0.05
Grilled Zucchini,Vegetarian,70,14,3,1.5,3,4,0,100,0.04
Avocado Salad,Vegetarian,150,15,3,10,4,5,0,100,0.02
Steamed Green Beans,Vegetarian,50,10,2,0.5,2,4,0,100,0.04
Lean Ground Turkey,Non-Vegetarian,200,0,30,10,0,0,70,100,0.15
Pea Soup,Vegetarian,90,20,6,1,4,5,0,100,0.07
Quinoa Salad,Vegetarian,180,30,6,4,3,5,0,100,0.03
Grilled Shrimp Skewers,Non-Vegetarian,220,0,25,10,1,1.5,90,100,0.11
Steamed Sweet Corn,Vegetarian,100,22,4,1,4,3,0,100,0.04
Stuffed Bell Peppers,Vegetarian,180,25,7,8,5,6,0,100,0.04
Roast Pork,Non-Vegetarian,280,0,30,16,0,0,70,100,0.11
Chickpea Soup,Vegetarian,120,22,8,3,4,6,0,100,0.07
Cabbage Stir Fry,Vegetarian,90,12,4,4,3,5,0,100,0.04
Turkey Meatballs,Non-Vegetarian,210,10,25,10,2,2,60,100,0.12
Grilled Spinach,Vegetarian,80,15,5,3,4,7,0,100,0.06
Beetroot Salad,Vegetarian,100,18,3,1.5,6,5,0,100,0.03
Grilled Chicken Thigh,Non-Vegetarian,250,0,30,12,1,1,80,100,0.12
Cucumber Tomato Salad,Vegetarian,70,15,3,1,4,4,0,100,0.04
Grilled Tempeh,Vegetarian,220,15,20,10,3,5,0,100,0.09
Beef Jerky,Non-Vegetarian,250,5,30,12,2,0,65,100,0.12
Boiled Green Beans,Vegetarian,60,12,3,0.5,4,4.5,0,100,0.05
Roasted Chickpeas,Vegetarian,140,24,7,3.5,5,7,0,100,0.05
Grilled Mackerel,Non-Vegetarian,260,0,30,16,0,0,90,100,0.12
Tofu Stir Fry,Vegetarian,180,15,14,8,5,4,0,100,0.08
Roast Butternut Squash,Vegetarian,110,25,3,1,6,6,0,100,0.03
Grilled Cod,Non-Vegetarian,200,0,35,5,0,0,70,100,0.18
Boiled Eggs with Avocado,Non-Vegetarian,200,5,12,15,1,3,100,100,0.06
Vegetable and Lentil Soup,Vegetarian,120,20,8,2,4,6,0,100,0.07
Grilled Lamb Chops,Non-Vegetarian,290,0,35,18,0,0,75,100,0.12
Cabbage Soup,Vegetarian,80,16,4,1,4,6,0,100,0.05
Baked Eggplant,Vegetarian,100,20,4,2,3,7,0,100,0.04
Boiled Chicken with Veggies,Non-Vegetarian,220,10,28,8,4,3,70,100,0.13
Grilled Asparagus with Garlic,Vegetarian,90,12,4,3,5,6,0,100,0.04
Steamed Brussels Sprouts,Vegetarian,70,10,5,3,3,5,0,100,0.07
Grilled Fish Tacos,Non-Vegetarian,230,25,20,10,3,4,60,100,0.09
Boiled Sweet Potato,Vegetarian,120,28,3,0.5,9,5,0,100,0.03
Shredded Chicken Salad,Non-Vegetarian,240,10,30,12,2,2,65,100,0.13
Steamed Tilapia,Non-Vegetarian,200,0,35,8,0,0,60,100,0.18
Grilled Tomato and Zucchini,Vegetarian,80,15,3,2,4,5,0,100,0.04
Roasted Cauliflower,Vegetarian,90,12,4,4,3,6,0,100,0.04
Spicy Grilled Chicken,Non-Vegetarian,250,0,30,12,2,1,80,100,0.12
Boiled Mung Beans,Vegetarian,120,23,8,1,4,6,0,100,0.07
Grilled Tofu Skewers,Vegetarian,180,10,15,8,3,5,0,100,0.08
Steamed Broccoli,Vegetarian,50,10,4,1,3,5,0,100,0.08
Chicken and Veg Stir Fry,Non-Vegetarian,240,20,25,8,5,5,75,100,0.1
Spinach and Feta Omelette,Non-Vegetarian,190,5,15,12,2,2,75,100,0.08
Grilled Salmon,Non-Vegetarian,230,0,25,12,0,0,80,100,0.11
Grilled Beef Steak,Non-Vegetarian,280,0,35,15,0,0,90,100,0.13
Grilled Eggplant,Vegetarian,70,15,3,1.5,5,5,0,100,0.04
Tofu and Veggie Stir Fry,Vegetarian,180,15,12,8,4,6,0,100,0.07
Grilled Chicken with Avocado,Non-Vegetarian,300,6,35,15,2,4,90,100,0.12
Steamed Carrot and Peas,Vegetarian,70,15,3,2,4,6,0,100,0.04
Grilled Shrimp,Non-Vegetarian,190,0,30,7,1,1,70,100,0.16
Boiled Sweet Potato,Vegetarian,110,26,3,0.5,6,5,0,100,0.03
Steamed Fish with Vegetables,Non-Vegetarian,220,5,25,10,3,5,80,100,0.11
Boiled Lentils,Vegetarian,110,20,8,1,3,5,0,100,0.07
Grilled Trout,Non-Vegetarian,220,0,30,10,0,0,75,100,0.14
Boiled Broccoli,Vegetarian,60,10,4,1,3,6,0,100,0.07
Steamed Methi (Fenugreek),Vegetarian,70,14,5,1,3,7,0,100,0.07
Roasted Chicken with Veggies,Non-Vegetarian,280,10,30,14,3,5,80,100,0.11
Vegetable Curry,Vegetarian,150,30,6,5,4,8,0,100,0.04
Roasted Cauliflower with Spices,Vegetarian,90,18,4,2.5,4,7,0,100,0.04
Grilled Fish with Lemon,Non-Vegetarian,200,0,30,8,1,0,80,100,0.15
Roast Chicken Breast,Non-Vegetarian,200,0,35,7,1,0,75,100,0.18
Tofu Scramble,Vegetarian,160,5,12,10,3,5,0,100,0.08
Grilled Pork,Non-Vegetarian,300,0,35,18,0,0,80,100,0.12
Vegetable Soup,Vegetarian,100,20,5,2,4,7,0,100,0.05
Grilled Aubergine,Vegetarian,80,16,4,3,5,5,0,100,0.05
Grilled Chicken Salad,Non-Vegetarian,230,10,30,10,2,3,70,100,0.13
Chickpea Stew,Vegetarian,150,30,8,4,5,8,0,100,0.05
Grilled Tuna,Non-Vegetarian,210,0,30,10,0,0,75,100,0.14
Vegetable Saut̩,Vegetarian,120,20,5,3,4,6,0,100,0.04
Roasted Pumpkin,Vegetarian,100,22,3,1.5,6,5,0,100,0.03
Spicy Grilled Tofu,Vegetarian,180,10,15,8,5,6,0,100,0.08
Grilled Chicken with Veggies,Non-Vegetarian,250,15,30,10,4,5,70,100,0.12
Spinach and Mushroom Stir Fry,Vegetarian,120,10,5,5,3,6,0,100,0.04
Grilled Vegetable Salad,Vegetarian,140,20,7,6,4,8,0,100,0.05
Grilled Lamb,Non-Vegetarian,300,0,35,15,0,0,85,100,0.12
Vegetable and Chickpea Curry,Vegetarian,160,25,8,5,4,7,0,100,0.05
Quinoa Salad,Vegetarian,220,40,7,4,2,6,0,100,0.03
